               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11829,            0.049641,            0.041722,           0.0024539,             0.20575,           0.0038474,          0.00093775,             0.10093,            0.032692,            0.039917,              0.0946,              0.0006,              0.0006
                   1,             0.10564,            0.050834,            0.040265,           0.0059711,             0.53825,            0.044983,           0.0090542,            0.085312,            0.033749,            0.035843,            0.088287,           0.0012871,           0.0012871
                   2,            0.090058,            0.057848,            0.037222,            0.082082,             0.14904,             0.09159,            0.024724,            0.071734,            0.032401,            0.033801,             0.08196,           0.0019604,           0.0019604
                   3,            0.079112,            0.051674,            0.034784,             0.12761,             0.35366,              0.1961,            0.069405,            0.066341,             0.02745,            0.032213,             0.07562,           0.0026198,           0.0026198
                   4,            0.074552,            0.049179,             0.03203,             0.15307,             0.72614,             0.20854,             0.06949,             0.06378,            0.024282,            0.030144,            0.069265,           0.0032654,           0.0032654
                   5,            0.070082,            0.043133,            0.029478,             0.13367,             0.61233,             0.20907,            0.059953,            0.067989,            0.028235,              0.0278,            0.062897,            0.003897,            0.003897
                   6,            0.069289,            0.044027,             0.02739,             0.27045,             0.67381,             0.42309,              0.1826,            0.062417,            0.027429,            0.024912,            0.056515,           0.0045149,           0.0045149
                   7,            0.063823,            0.037001,            0.024614,             0.22189,             0.66306,              0.3999,             0.11699,              0.0696,            0.022424,            0.023163,            0.050119,           0.0051188,           0.0051188
                   8,            0.070137,            0.036856,            0.023452,             0.26974,             0.63333,             0.32997,             0.11042,            0.069324,            0.019788,            0.022774,            0.043709,            0.005709,            0.005709
                   9,            0.067183,            0.034945,            0.023109,             0.29564,             0.63125,             0.44402,             0.14248,            0.065406,            0.016996,            0.022289,            0.037285,           0.0062852,           0.0062852
                  10,            0.066259,            0.035123,            0.022535,             0.31304,             0.63226,             0.45357,             0.13525,            0.064767,            0.015933,            0.022156,            0.030848,           0.0068476,           0.0068476
                  11,            0.063404,            0.029422,            0.022353,             0.38208,             0.74908,             0.60219,             0.24053,            0.061834,            0.015798,            0.021748,            0.024396,           0.0073961,           0.0073961
                  12,            0.065354,             0.03038,            0.022033,             0.42183,             0.72029,             0.57473,             0.21394,            0.046928,            0.014437,            0.021382,            0.017931,           0.0079308,           0.0079308
                  13,            0.061955,            0.031666,            0.021129,             0.36439,             0.70463,             0.54601,             0.26421,             0.05698,            0.013982,            0.021652,            0.011452,           0.0084516,           0.0084516
                  14,            0.061124,            0.031234,            0.020556,             0.38143,             0.66967,             0.54304,             0.23947,            0.060817,            0.013907,             0.02157,            0.008614,            0.008614,            0.008614
                  15,            0.063294,            0.029655,            0.021192,             0.28305,              0.6946,             0.46419,             0.15601,            0.056441,            0.013477,            0.021446,            0.008614,            0.008614,            0.008614
                  16,            0.056209,            0.028851,            0.020479,             0.29386,             0.72865,             0.49461,             0.25124,            0.057715,             0.01396,            0.020691,            0.008515,            0.008515,            0.008515
                  17,            0.061477,            0.027449,            0.019832,             0.35955,             0.88026,              0.4868,             0.19633,            0.051712,            0.013381,            0.020764,            0.008416,            0.008416,            0.008416
                  18,            0.055582,            0.027897,            0.019595,             0.41239,             0.73976,               0.631,             0.32135,            0.049183,            0.012798,            0.019867,            0.008317,            0.008317,            0.008317
                  19,            0.050088,            0.025252,            0.017645,             0.46279,             0.62949,             0.50346,             0.17406,            0.051568,            0.012894,            0.019894,            0.008218,            0.008218,            0.008218
                  20,            0.048179,            0.027421,            0.018067,             0.43651,             0.85313,             0.61818,             0.34313,            0.052816,            0.013361,            0.019153,            0.008119,            0.008119,            0.008119
                  21,            0.055888,            0.025978,            0.018263,             0.45043,             0.89101,             0.61136,               0.274,            0.054521,            0.012171,            0.018425,             0.00802,             0.00802,             0.00802
                  22,            0.053159,            0.025505,            0.017751,             0.43656,             0.94549,             0.67378,             0.34864,            0.043855,            0.011885,            0.018876,            0.007921,            0.007921,            0.007921
                  23,             0.04365,            0.025395,            0.017405,             0.35985,             0.72937,              0.6313,             0.35554,            0.042235,             0.01376,            0.018716,            0.007822,            0.007822,            0.007822
                  24,            0.045031,            0.027252,            0.017128,             0.39704,             0.86198,             0.71465,             0.40728,            0.045246,            0.013206,            0.018835,            0.007723,            0.007723,            0.007723
                  25,            0.051076,            0.024807,            0.016638,             0.41846,             0.82648,             0.72462,             0.45622,            0.039035,            0.011405,            0.020471,            0.007624,            0.007624,            0.007624
                  26,            0.047267,            0.024951,            0.016698,             0.39371,             0.79424,              0.6192,             0.37213,            0.038456,            0.011274,            0.018661,            0.007525,            0.007525,            0.007525
                  27,            0.042202,            0.027094,            0.016083,             0.54306,             0.90248,             0.76995,             0.42159,            0.038488,            0.011074,            0.018311,            0.007426,            0.007426,            0.007426
                  28,            0.041736,            0.028769,            0.015195,             0.47809,              0.7946,             0.69491,             0.41973,            0.040323,            0.012578,            0.017482,            0.007327,            0.007327,            0.007327
                  29,            0.042327,            0.025425,            0.015129,             0.54936,             0.83577,             0.74309,             0.40408,             0.03702,            0.011533,            0.016736,            0.007228,            0.007228,            0.007228
                  30,            0.040844,            0.024183,            0.015543,             0.54119,             0.90105,             0.77745,             0.52652,            0.032906,            0.011196,            0.016985,            0.007129,            0.007129,            0.007129
                  31,            0.040403,            0.025414,            0.013963,             0.69463,             0.92033,             0.82946,             0.41881,            0.040022,             0.01157,            0.016459,             0.00703,             0.00703,             0.00703
                  32,            0.040282,            0.028062,            0.014295,             0.67652,             0.84592,             0.82065,             0.55356,            0.035993,            0.011298,            0.016841,            0.006931,            0.006931,            0.006931
                  33,            0.041536,            0.024228,            0.013012,             0.53843,             0.87562,             0.77303,             0.47166,            0.034671,            0.011597,            0.016656,            0.006832,            0.006832,            0.006832
                  34,            0.038263,            0.025251,            0.012304,             0.65714,             0.88689,             0.86039,             0.56879,             0.03343,            0.011264,            0.014414,            0.006733,            0.006733,            0.006733
                  35,            0.039593,            0.024286,            0.012323,             0.80262,             0.86094,             0.88708,             0.47891,            0.041794,            0.011585,            0.014594,            0.006634,            0.006634,            0.006634
                  36,            0.038892,            0.024748,            0.012408,             0.69147,             0.84953,             0.83719,             0.51012,            0.041779,            0.011675,            0.014376,            0.006535,            0.006535,            0.006535
                  37,            0.042395,            0.025592,            0.011732,             0.85323,             0.85661,             0.90494,              0.5851,            0.039214,            0.011073,            0.013692,            0.006436,            0.006436,            0.006436
                  38,            0.036073,             0.02537,            0.011068,             0.69125,             0.86656,             0.84493,             0.55549,            0.036285,              0.0109,            0.012843,            0.006337,            0.006337,            0.006337
                  39,            0.035457,            0.022649,            0.010609,             0.91315,             0.86915,              0.9201,             0.48285,            0.039536,            0.011165,            0.012675,            0.006238,            0.006238,            0.006238
                  40,            0.032785,            0.022666,            0.011426,             0.71168,             0.84621,             0.86334,             0.56137,            0.035045,            0.011588,            0.012889,            0.006139,            0.006139,            0.006139
                  41,            0.035806,            0.023366,            0.010257,             0.86701,             0.84855,             0.91196,             0.53199,            0.034771,            0.011454,            0.013037,             0.00604,             0.00604,             0.00604
                  42,             0.03429,            0.023078,           0.0096121,             0.89526,             0.89796,              0.9267,             0.51826,            0.031705,            0.010798,            0.012531,            0.005941,            0.005941,            0.005941
                  43,            0.034559,            0.023312,           0.0092813,             0.90553,             0.90644,             0.92919,             0.65912,            0.028955,            0.010449,            0.012863,            0.005842,            0.005842,            0.005842
                  44,            0.032456,            0.022058,           0.0094456,             0.50392,             0.86444,             0.71199,             0.44142,            0.037831,            0.011449,            0.013602,            0.005743,            0.005743,            0.005743
