               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1158,            0.045807,            0.041837,           0.0033857,             0.31111,           0.0061556,           0.0015976,             0.10015,            0.033604,            0.040082,              0.0928,              0.0008,              0.0008
                   1,            0.098605,            0.051287,            0.039737,           0.0049409,             0.48889,            0.039378,            0.012494,            0.084455,            0.033989,            0.037656,            0.084139,            0.001139,            0.001139
                   2,            0.092377,            0.055875,            0.037809,            0.006992,             0.68889,            0.068729,            0.023076,            0.074225,            0.034565,            0.036603,            0.074884,            0.000884,            0.000884
