               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.029294,            0.023175,            0.011061,             0.83536,             0.85627,             0.91594,              0.6891,            0.022904,            0.011507,            0.012085,            0.002872,            0.002872,            0.002872
                  38,            0.028653,            0.023628,           0.0099534,             0.82519,             0.88889,             0.92303,             0.68216,            0.022347,            0.011503,            0.012371,            0.002674,            0.002674,            0.002674
                  39,             0.02828,            0.021364,            0.010481,             0.81493,             0.91111,             0.92918,             0.69858,            0.022025,            0.011675,            0.011652,            0.002476,            0.002476,            0.002476
                  40,            0.028688,            0.024561,            0.010623,             0.82039,             0.91111,             0.93194,             0.70531,            0.020439,            0.011695,             0.01181,            0.002278,            0.002278,            0.002278
                  41,            0.026199,            0.021338,           0.0090699,              0.8378,             0.90646,             0.93441,              0.6799,            0.021079,            0.011601,             0.01153,             0.00208,             0.00208,             0.00208
                  42,            0.025771,            0.023599,           0.0086318,             0.86159,             0.89666,              0.9322,             0.69283,            0.021016,            0.011415,            0.011293,            0.001882,            0.001882,            0.001882
                  43,            0.025696,            0.021142,           0.0084969,              0.8905,             0.84805,              0.9268,             0.68592,            0.020611,            0.011497,            0.011584,            0.001684,            0.001684,            0.001684
                  44,            0.025319,            0.021911,           0.0079224,             0.85678,             0.87229,              0.9297,             0.66154,            0.021823,             0.01165,            0.011033,            0.001486,            0.001486,            0.001486
                  45,            0.023893,            0.019792,           0.0072257,             0.85548,             0.87354,             0.93005,             0.65488,            0.022168,            0.011784,            0.011002,            0.001288,            0.001288,            0.001288
                  46,            0.023346,            0.021542,           0.0071245,             0.87443,               0.856,             0.93272,             0.66636,            0.022171,            0.011763,            0.011604,             0.00109,             0.00109,             0.00109
                  47,            0.023855,            0.020344,           0.0072954,              0.8472,             0.88426,             0.92782,             0.61431,            0.023924,            0.011997,            0.012231,            0.000892,            0.000892,            0.000892
                  48,            0.023984,            0.021351,           0.0066939,             0.87542,             0.85502,             0.92938,             0.67032,            0.021629,            0.011799,            0.011845,            0.000694,            0.000694,            0.000694
                  49,            0.024182,            0.021974,           0.0065593,             0.87638,             0.85493,             0.92803,             0.64548,            0.022645,            0.011976,            0.011762,            0.000496,            0.000496,            0.000496
