               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11674,            0.045986,            0.041528,           0.0025732,              0.2619,           0.0034462,          0.00087024,            0.099975,            0.033943,             0.04064,              0.0928,              0.0008,              0.0008
                   1,             0.10126,            0.050327,            0.039218,            0.004734,             0.47619,            0.015213,           0.0034722,            0.085511,            0.034203,            0.038287,            0.084139,            0.001139,            0.001139
                   2,            0.094617,            0.055232,             0.03853,           0.0068589,             0.69048,            0.024429,           0.0061867,            0.078913,            0.034405,            0.036594,            0.074884,            0.000884,            0.000884
