               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.032837,            0.019406,           0.0087507,             0.75667,             0.96504,               0.951,             0.59654,            0.031523,           0.0098293,           0.0040735,            0.006436,            0.006436,            0.006436
                  38,            0.033008,            0.020469,           0.0078136,              0.6356,             0.87455,             0.89975,             0.45573,            0.040724,            0.010714,           0.0036567,            0.006337,            0.006337,            0.006337
                  39,            0.034969,            0.021116,           0.0075657,              0.7237,             0.98821,             0.92066,             0.56306,            0.033186,            0.010024,           0.0033869,            0.006238,            0.006238,            0.006238
                  40,            0.033634,            0.020813,           0.0068008,             0.95826,                   1,               0.995,             0.73436,             0.02586,           0.0087039,            0.003235,            0.006139,            0.006139,            0.006139
                  41,            0.030191,            0.022511,           0.0065497,             0.82318,             0.96296,             0.96538,             0.51235,            0.031312,           0.0099978,           0.0029574,             0.00604,             0.00604,             0.00604
                  42,            0.034062,            0.020151,           0.0065079,             0.87392,                   1,             0.99133,             0.58669,            0.029515,           0.0096116,           0.0030473,            0.005941,            0.005941,            0.005941
                  43,            0.032754,            0.021259,           0.0065181,             0.96537,                   1,               0.995,             0.59791,            0.026237,           0.0094807,           0.0030221,            0.005842,            0.005842,            0.005842
                  44,            0.033003,            0.022019,           0.0061214,             0.94448,                   1,               0.995,             0.77962,              0.0203,           0.0084951,           0.0029826,            0.005743,            0.005743,            0.005743
                  45,            0.027664,            0.019657,           0.0059838,             0.89687,                   1,             0.96933,             0.62934,            0.026471,           0.0094814,           0.0027446,            0.005644,            0.005644,            0.005644
                  46,            0.030308,             0.01937,           0.0056275,             0.91842,                   1,               0.995,             0.65096,            0.024321,           0.0091512,           0.0026665,            0.005545,            0.005545,            0.005545
                  47,            0.030056,            0.020085,           0.0055994,               0.959,                   1,               0.995,              0.7036,            0.022459,           0.0089514,           0.0028118,            0.005446,            0.005446,            0.005446
                  48,            0.031176,            0.019468,           0.0055407,             0.98077,                   1,               0.995,             0.69018,            0.025446,           0.0093236,           0.0027449,            0.005347,            0.005347,            0.005347
                  49,            0.028109,            0.020564,           0.0053383,             0.75167,             0.97889,             0.97102,             0.60393,            0.027912,           0.0092719,           0.0024831,            0.005248,            0.005248,            0.005248
                  50,             0.03066,            0.019869,           0.0052926,             0.98705,                   1,               0.995,             0.73716,            0.020998,           0.0085642,           0.0024382,            0.005149,            0.005149,            0.005149
                  51,             0.02799,            0.020437,           0.0042641,             0.98752,                   1,               0.995,             0.76269,            0.019813,           0.0088005,           0.0023071,             0.00505,             0.00505,             0.00505
                  52,            0.029909,            0.018651,           0.0042938,             0.98885,                   1,               0.995,              0.7247,            0.026324,            0.009177,            0.002205,            0.004951,            0.004951,            0.004951
                  53,            0.027494,            0.018048,           0.0040103,             0.87608,                   1,               0.995,             0.71556,            0.027154,           0.0097487,           0.0021164,            0.004852,            0.004852,            0.004852
                  54,             0.02845,            0.017934,            0.004526,             0.95811,                   1,             0.97667,             0.72246,            0.021667,           0.0088828,            0.002095,            0.004753,            0.004753,            0.004753
                  55,            0.026201,            0.019639,           0.0041005,             0.98651,                   1,               0.995,             0.81028,            0.020185,           0.0089884,           0.0021386,            0.004654,            0.004654,            0.004654
                  56,            0.024655,            0.018176,           0.0038207,             0.98507,                   1,               0.995,             0.84219,            0.018472,           0.0085015,           0.0022096,            0.004555,            0.004555,            0.004555
                  57,            0.024558,            0.017515,           0.0041104,             0.89615,             0.99857,               0.995,             0.82201,            0.021137,           0.0090389,           0.0020848,            0.004456,            0.004456,            0.004456
                  58,            0.026886,            0.018401,           0.0046142,             0.99091,                   1,               0.995,             0.82124,            0.018515,           0.0081594,           0.0020245,            0.004357,            0.004357,            0.004357
                  59,            0.024602,            0.018285,           0.0041895,             0.99164,                   1,               0.995,             0.75577,            0.019301,           0.0085862,           0.0019687,            0.004258,            0.004258,            0.004258
                  60,            0.024534,            0.018466,           0.0035534,             0.99215,                   1,               0.995,             0.83286,            0.016201,           0.0079143,           0.0019094,            0.004159,            0.004159,            0.004159
                  61,            0.024728,            0.017791,           0.0040335,             0.87752,                   1,             0.99133,              0.7964,            0.023862,           0.0091577,           0.0017796,             0.00406,             0.00406,             0.00406
                  62,            0.027119,            0.018699,           0.0039242,             0.99309,                   1,               0.995,             0.83768,            0.017714,           0.0082743,           0.0017504,            0.003961,            0.003961,            0.003961
                  63,            0.026295,            0.016293,           0.0040628,             0.99303,                   1,               0.995,             0.90752,             0.01297,             0.00787,           0.0017123,            0.003862,            0.003862,            0.003862
                  64,            0.024365,            0.019978,           0.0040736,             0.99202,                   1,               0.995,             0.82226,            0.017418,            0.008395,           0.0016671,            0.003763,            0.003763,            0.003763
                  65,            0.022413,            0.017728,           0.0038331,             0.99267,                   1,               0.995,             0.85009,            0.016695,           0.0086472,           0.0016047,            0.003664,            0.003664,            0.003664
                  66,            0.024242,            0.017261,           0.0029367,             0.99305,                   1,               0.995,             0.84261,            0.017359,           0.0081792,           0.0015442,            0.003565,            0.003565,            0.003565
                  67,             0.02309,            0.017882,           0.0035875,             0.99305,                   1,               0.995,              0.8413,            0.014621,           0.0076733,           0.0015135,            0.003466,            0.003466,            0.003466
                  68,             0.02224,            0.016976,           0.0030816,             0.99307,                   1,               0.995,             0.85113,            0.015494,           0.0076013,           0.0014852,            0.003367,            0.003367,            0.003367
                  69,            0.020831,            0.017114,           0.0031639,             0.94408,                   1,               0.995,             0.81723,            0.018315,           0.0084236,           0.0013627,            0.003268,            0.003268,            0.003268
                  70,            0.021696,            0.017322,           0.0030859,             0.99237,                   1,               0.995,             0.81776,            0.016199,           0.0079865,           0.0013181,            0.003169,            0.003169,            0.003169
                  71,            0.021464,            0.017306,           0.0027891,             0.99252,                   1,               0.995,             0.87453,            0.015868,           0.0077825,           0.0013076,             0.00307,             0.00307,             0.00307
                  72,            0.021039,            0.018127,           0.0029124,              0.9923,                   1,               0.995,             0.86876,            0.012686,           0.0074892,           0.0012975,            0.002971,            0.002971,            0.002971
                  73,            0.019834,            0.017776,           0.0028366,             0.99295,                   1,               0.995,             0.82215,             0.01765,           0.0084682,           0.0012621,            0.002872,            0.002872,            0.002872
                  74,            0.020587,            0.017814,           0.0024236,             0.99353,                   1,               0.995,             0.85917,            0.013959,           0.0079236,           0.0012601,            0.002773,            0.002773,            0.002773
                  75,            0.020095,            0.016563,            0.003175,             0.99318,                   1,               0.995,             0.85553,            0.014778,           0.0079384,           0.0012584,            0.002674,            0.002674,            0.002674
                  76,            0.020038,            0.016397,           0.0027305,             0.99266,                   1,               0.995,             0.88712,            0.011892,           0.0074492,           0.0012603,            0.002575,            0.002575,            0.002575
                  77,            0.019356,            0.016266,           0.0031068,             0.99202,                   1,               0.995,             0.81363,            0.017388,           0.0080378,           0.0012149,            0.002476,            0.002476,            0.002476
                  78,            0.020447,            0.016603,           0.0025855,              0.9914,                   1,               0.995,             0.85099,             0.01402,           0.0077953,           0.0011783,            0.002377,            0.002377,            0.002377
                  79,            0.019251,            0.017747,           0.0026168,              0.9924,                   1,               0.995,             0.85896,            0.012799,           0.0076993,            0.001148,            0.002278,            0.002278,            0.002278
                  80,            0.018967,            0.016231,           0.0025492,             0.99303,                   1,               0.995,             0.88959,            0.012701,            0.007396,           0.0011384,            0.002179,            0.002179,            0.002179
                  81,            0.017963,            0.017112,            0.003087,             0.99255,                   1,               0.995,             0.82806,            0.016384,           0.0081296,           0.0011072,             0.00208,             0.00208,             0.00208
                  82,             0.01798,            0.016722,           0.0025914,             0.99299,                   1,               0.995,             0.89526,            0.014079,           0.0076163,           0.0010976,            0.001981,            0.001981,            0.001981
                  83,            0.018753,            0.016472,           0.0029564,             0.99301,                   1,               0.995,             0.89844,            0.011674,           0.0072761,           0.0010975,            0.001882,            0.001882,            0.001882
                  84,             0.01784,            0.015784,           0.0025306,             0.99301,                   1,               0.995,             0.88755,            0.011751,           0.0072742,           0.0010899,            0.001783,            0.001783,            0.001783
                  85,            0.017992,            0.015894,           0.0023235,             0.99303,                   1,               0.995,             0.88921,             0.01283,           0.0074003,            0.001065,            0.001684,            0.001684,            0.001684
                  86,            0.017515,            0.016361,           0.0018224,             0.99212,                   1,               0.995,             0.89874,            0.012802,            0.007165,           0.0010204,            0.001585,            0.001585,            0.001585
                  87,            0.017302,            0.014176,           0.0019971,             0.99244,                   1,               0.995,             0.90906,            0.011702,           0.0071058,          0.00098133,            0.001486,            0.001486,            0.001486
                  88,            0.016994,            0.015216,           0.0023418,             0.99284,                   1,               0.995,             0.90933,            0.010094,           0.0067754,          0.00096674,            0.001387,            0.001387,            0.001387
                  89,            0.016574,            0.014518,           0.0028703,             0.99336,                   1,               0.995,             0.90194,            0.011885,            0.007019,          0.00092597,            0.001288,            0.001288,            0.001288
                  90,            0.016999,            0.016136,           0.0020712,             0.99334,                   1,               0.995,             0.91704,            0.011843,           0.0071402,           0.0008925,            0.001189,            0.001189,            0.001189
                  91,               0.016,            0.015526,             0.00192,             0.99337,                   1,               0.995,             0.91466,            0.010566,           0.0067813,          0.00085731,             0.00109,             0.00109,             0.00109
                  92,            0.016579,            0.015115,           0.0024486,             0.99313,                   1,               0.995,             0.92479,            0.009366,           0.0065322,          0.00084157,            0.000991,            0.000991,            0.000991
                  93,            0.015717,            0.016462,           0.0021767,             0.99303,                   1,               0.995,             0.90897,           0.0097731,           0.0065711,          0.00081339,            0.000892,            0.000892,            0.000892
                  94,            0.015449,            0.015369,           0.0022731,             0.99345,                   1,               0.995,             0.91691,           0.0095299,           0.0065033,          0.00079272,            0.000793,            0.000793,            0.000793
                  95,            0.015291,            0.014061,            0.002035,             0.99403,                   1,               0.995,             0.92576,           0.0092027,           0.0063908,          0.00077419,            0.000694,            0.000694,            0.000694
                  96,            0.015134,            0.015977,           0.0022445,              0.9938,                   1,               0.995,             0.92672,           0.0092667,           0.0063884,          0.00076232,            0.000595,            0.000595,            0.000595
                  97,            0.015823,            0.015357,           0.0024268,             0.99386,                   1,               0.995,             0.92555,           0.0091577,            0.006377,          0.00074415,            0.000496,            0.000496,            0.000496
                  98,             0.01607,            0.015785,           0.0026762,             0.99389,                   1,               0.995,             0.93363,           0.0091499,           0.0063539,          0.00073085,            0.000397,            0.000397,            0.000397
                  99,            0.015663,            0.017218,           0.0021166,             0.99397,                   1,               0.995,             0.93013,           0.0090649,           0.0062907,          0.00071905,            0.000298,            0.000298,            0.000298
